Year,Dam,Chinook.Adult,Chinook.Jack,Coho.Adult,Coho.Jack,Sockeye,Steelhead,Wild.Steelhead,Pink,Shad,Chum,Lamprey
2007,BON,274321,83054,91994,4064,24376,320931,80953,27,2575277,95,19313
2006,BON,493136,32812,101087,7920,37066,333250,83890,6,3965254,121,38938
2005,BON,570303,29998,83321,5486,72971,314721,88894,17,4242129,128,26664
2004,BON,845717,60247,115041,4808,123291,311122,97542,1,5355677,77,61780
2003,BON,917154,75344,125743,8127,39291,361412,112347,637,4558550,326,117029
2002,BON,870803,54649,88459,6830,49610,481203,143045,0,3164556,72,100476
2001,BON,867933,103398,259756,6780,114934,633464,149582,-4,2297959,58,27947
2000,BON,401733,90195,85734,11393,93398,275273,76220,0,1244317,38,19002
1999,BON,306981,36195,40684,4468,17875,206488,55064,28,1638281,43,37296
1998,BON,248860,32084,46290,3630,13218,185094,35701,13,1891086,0,37515
1997,BON,360673,26415,24061,3206,47008,258385,33580,2,2171561,15,20891
1996,BON,272885,23750,15737,3010,30252,205213,17375,159,1923143,25,NA
1995,BON,189419,50631,10397,1639,8774,202448,NA,35,1716206,26,NA
1994,BON,208197,35253,20291,2503,12678,161978,29174,0,1557555,22,NA
1993,BON,259337,18320,10642,1105,80178,188386,NA,13,1993504,11,NA
1992,BON,219688,36611,14369,3757,84992,314974,NA,20,2551439,37,NA
1991,BON,226433,48211,60417,5091,76482,274535,NA,550,1914417,5,NA
1990,BON,296389,44409,11641,13123,49581,183011,NA,0,2947865,26,NA
1989,BON,373202,42878,27422,11821,41884,287802,NA,12,1877404,16,NA
1988,BON,411897,82131,27038,12579,79721,279277,NA,6,1164320,60,NA
1987,BON,468574,78885,17921,9713,116956,300351,NA,20,943875,147,NA
1986,BON,371075,200114,108587,22199,58099,376752,NA,23,858170,77,NA
1985,BON,293803,164803,38504,18195,165933,330170,NA,147,974951,97,NA
1984,BON,216469,106877,16604,12728,152540,315795,NA,8,1275789,64,NA
1983,BON,186214,58262,8402,6776,100542,218419,NA,52,1419989,50,NA
1982,BON,247911,74898,55816,18016,50219,157640,NA,0,780212,12,NA
1981,BON,232299,53351,21935,8575,56037,159270,NA,20,881179,4,NA
1980,BON,207770,37748,12974,9078,58882,129254,NA,0,939390,44,NA
1979,BON,220335,55957,26612,15716,52627,114010,NA,23,1039857,1,NA
1978,BON,332323,6267,30278,22312,18436,104431,NA,0,861166,28,NA
1977,BON,281659,84998,9325,10083,99829,193437,NA,0,495723,17,NA
1976,BON,364907,142866,36666,16484,43611,124177,NA,2,305219,11,NA
1975,BON,350320,75246,32772,25535,58212,85540,NA,309,264246,11,NA
1974,BON,288410,78349,31605,29350,43837,137054,NA,2,98945,23,NA
1973,BON,318836,79799,25849,28760,58979,157823,NA,12,519207,43,NA
1972,BON,336037,58419,34216,31716,56323,185886,NA,51,214725,1,NA
1971,BON,328740,76962,53817,22172,87447,193966,NA,176,189597,29,NA
1970,BON,314032,70748,54868,25248,70762,113510,NA,150,329276,209,NA
1969,BON,411300,96300,24162,25216,59636,140782,NA,86,317358,143,379509
